Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
78000,1.9759752,566.0,1.4926482,2.1176314,0.47508156,109.84384822845459,109.84384822845459,6.979507923126221,0.9993034973740578,1.0
79000,1.9966604,465.5,1.1353421,1.9254148,0.4164537,89.84798628091812,89.84798628091812,6.439859297126532,0.8581033344380558,1.0
80000,2.0383582,279.0,1.5819597,1.7759875,0.48894042,43.38090571761131,43.38090571761131,4.320657849311829,0.912085653282702,1.0
81000,1.9526771,505.6666666666667,1.4054,2.1161642,0.46557653,28.659846762816112,28.659846762816112,7.069629579782486,3.797740944874628,1.0
82000,1.9714589,None,1.4498359,2.1524026,0.4895455,None,None,None,None,1.0
83000,1.9428365,999.0,1.7789309,2.091282,0.4486618,205.53651428222656,205.53651428222656,11.601981610059738,1.5744624845683575,1.0
84000,1.9293447,749.0,1.7091309,2.0853689,0.44044322,152.4580028851827,152.4580028851827,8.627890507380167,1.2224219475950424,1.0
85000,1.9244169,None,1.8916072,2.1133094,0.44762138,None,None,None,None,1.0
86000,1.9349709,None,1.9088078,2.0891986,0.44905668,None,None,None,None,1.0
87000,1.9391494,627.0,1.9019536,2.0405636,0.4476111,168.56203734874725,168.56203734874725,6.783351585268974,0.8511602185899392,1.0
88000,1.9440255,223.25,1.7674947,2.0885632,0.4663827,33.12382552623749,33.12382552623749,2.0667731404304504,0.25347777754068374,1.0
89000,1.9581175,178.0,1.5926431,2.0772917,0.47650337,31.92070468266805,31.92070468266805,1.899671372026205,0.2708577592857182,1.0
90000,1.9372433,673.0,1.907175,2.0392182,0.44419613,150.09640216827393,150.09640216827393,5.846561014652252,0.7840328402817249,1.0
91000,1.9373261,750.5,1.8406391,2.0526354,0.45831344,153.90724956989288,153.90724956989288,7.116801291704178,1.011256294324994,1.0
92000,1.9454862,431.3333333333333,1.8153363,2.0261874,0.44852835,86.8157434463501,86.8157434463501,4.394226511319478,0.6324467075367769,1.0
93000,1.8905683,315.6666666666667,1.772278,1.9944596,0.4185564,62.96509059270223,62.96509059270223,2.994935378432274,0.4375315868431547,1.0
94000,1.8850712,352.0,2.1353924,1.9983065,0.43120465,75.45249656836192,75.45249656836192,2.8176448543866477,0.41777228855062276,1.0
95000,1.8804487,225.75,2.2840896,1.9884013,0.41395658,46.7502002120018,46.7502002120018,1.9428966864943504,0.2112484296085313,1.0
96000,1.8924721,383.0,2.3252192,2.0126162,0.41694057,78.02830791473389,78.02830791473389,3.8048079311847687,0.3322805017232895,1.0
97000,1.8785074,550.0,2.020839,2.0108163,0.46053907,123.55462805430095,123.55462805430095,4.338931979611516,0.5904045589656258,1.0
98000,1.8875202,190.5,2.242925,1.979228,0.41262162,60.29471242427826,60.29471242427826,2.063966155052185,0.2050172396702692,1.0
99000,1.8891361,None,2.267714,1.9968381,0.4198566,21.050628662109375,21.050628662109375,1.1682758927345276,0.09774995967745781,1.0
100000,1.8970866,999.0,2.3023381,1.9241703,0.40337428,228.32521057128906,228.32521057128906,7.157819248735905,1.0542412991635501,1.0
101000,1.8851818,799.0,2.2503014,1.963352,0.4273179,177.48220920562744,177.48220920562744,6.669907927513123,1.6751874648034573,1.0
102000,1.8868752,399.0,2.0572267,1.937789,0.416688,85.46126675605774,85.46126675605774,3.507979452610016,0.3297965582460165,1.0
103000,1.8883258,999.0,1.8575208,1.8025615,0.34389156,197.82014147937298,197.82014147937298,7.203081794083118,0.9816566007211804,1.0
104000,1.8396279,322.0,1.9460299,1.8952265,0.42843717,46.61510503292084,46.61510503292084,4.431492373347282,0.221365723060444,1.0
105000,1.8647692,999.0,2.388143,1.8067846,0.37537843,-0.8835720643401146,-0.8835720643401146,20.50729477405548,8.99860036186874,1.0
106000,1.8145016,584.6666666666666,2.7458582,1.8707328,0.38376328,138.33540666103363,138.33540666103363,3.690054975450039,0.30272722663357854,1.0
107000,1.8439038,376.0,2.873532,1.8954419,0.3799339,84.96362400054932,84.96362400054932,2.5899980068206787,0.4327994603663683,1.0
108000,1.8326567,495.6666666666667,2.766072,1.8613865,0.38119277,56.781936168670654,56.781936168670654,1.6436222046613693,0.08861659397371113,1.0
109000,1.8411909,632.0,2.8005238,1.8701589,0.38057867,182.09898670514426,182.09898670514426,4.408689364790916,0.3994010407477617,1.0
110000,1.8399359,None,2.8142378,1.8428504,0.37456182,None,None,None,None,1.0
111000,1.8438193,882.0,2.7213922,1.8452224,0.37509876,208.12885093688965,208.12885093688965,5.340709686279297,0.5152482558041811,1.0
112000,1.8429699,999.0,2.6971812,1.8030922,0.37890413,240.72052097320557,240.72052097320557,5.7617436200380325,0.6117447805590928,1.0
113000,1.8369772,326.0,2.6791563,1.833206,0.38207123,73.99554228782654,73.99554228782654,1.9344093799591064,0.17468155836104415,1.0
114000,1.775443,547.5,3.3711119,1.7370778,0.34142038,125.01830339431763,125.01830339431763,3.751518949866295,0.950691811973229,1.0
115000,1.771642,999.0,3.4394093,1.7392476,0.33752036,237.24460697174072,237.24460697174072,5.6245632618665695,0.5584095353260636,1.0
116000,1.784127,999.0,3.4405534,1.7438301,0.34018877,250.38930225372314,250.38930225372314,5.5269937962293625,0.34731920901685953,1.0
117000,1.7502428,999.0,3.4562716,1.7526481,0.33355275,248.07556915283203,248.07556915283203,5.335865527391434,0.48378329491242766,1.0
118000,1.799468,999.0,3.3108273,1.7078923,0.33690363,258.85010719299316,258.85010719299316,5.080913752317429,0.31930512096732855,1.0
119000,1.750127,496.6666666666667,3.2145402,1.7823316,0.35983497,123.61209825674693,123.61209825674693,2.7590494404236474,0.25069683042238466,1.0
120000,1.7917798,None,3.3211737,1.6968464,0.33212885,None,None,None,None,1.0
121000,1.767867,624.0,3.3920138,1.7354045,0.33202705,153.77133798599243,153.77133798599243,3.3226534575223923,0.36664803558960557,1.0
122000,1.7651815,999.0,3.3190558,1.7136958,0.3318624,249.77224826812744,249.77224826812744,5.307694852352142,0.3704234263859689,1.0
123000,1.768515,522.5,3.3125734,1.7307609,0.33876133,127.91020488739014,127.91020488739014,2.9107381477952003,0.22186092846095562,1.0
124000,1.7137283,None,3.972396,1.6509047,0.30162612,None,None,None,None,1.0
125000,1.7121828,873.0,4.217645,1.6332371,0.29329187,229.8087863922119,229.8087863922119,4.705325439572334,0.1962518491782248,1.0
126000,1.7246491,999.0,4.0942745,1.6017957,0.29223686,260.85881662368774,260.85881662368774,4.989926591515541,0.2919506642501801,1.0
127000,1.7260257,None,4.2331233,1.6248399,0.29266644,None,None,None,None,1.0
128000,1.7449511,999.0,4.083749,1.6035244,0.28916293,259.93392753601074,259.93392753601074,4.985302492976189,0.2453935833182186,1.0
129000,1.7261038,999.0,4.0768642,1.6034852,0.29229638,264.59753370285034,264.59753370285034,5.1182475462555885,0.26728835981339216,1.0
130000,1.709626,None,4.0473237,1.5957937,0.29338408,None,None,None,None,1.0
131000,1.7279438,902.0,3.8676088,1.5850284,0.2872228,237.41873025894165,237.41873025894165,4.770879030227661,0.22658042330294847,1.0
132000,1.7433438,667.6666666666666,3.9886904,1.6135688,0.29806527,170.73038377364477,170.73038377364477,3.4991062382857003,0.2420183508656919,1.0
133000,1.7104716,309.0,3.9478297,1.5866957,0.2935728,74.68648099899292,74.68648099899292,1.6443539261817932,0.1378928495105356,1.0
134000,1.7027272,999.0,4.439373,1.5342667,0.2700925,266.85060024261475,266.85060024261475,4.9174435287714005,0.22492916090413928,1.0
135000,1.7003858,None,4.836386,1.4813023,0.25079864,None,None,None,None,1.0
136000,1.6867096,999.0,4.814777,1.4848121,0.25220397,266.15425300598145,266.15425300598145,4.940577730536461,0.25809960305923596,1.0
137000,1.6790261,999.0,4.89579,1.4899107,0.25437504,261.98734760284424,261.98734760284424,4.9785463362932205,0.2875822065398097,1.0
138000,1.7166215,195.5,4.6689773,1.4975281,0.2758121,47.648921489715576,47.648921489715576,1.369058758020401,0.35125081543810666,1.0
139000,1.6755103,999.0,4.788081,1.4755373,0.25004023,267.7671284675598,267.7671284675598,5.022145688533783,0.219644341384992,1.0
140000,1.6989645,None,4.751892,1.4713383,0.24863198,None,None,None,None,1.0
141000,1.683636,999.0,4.8702984,1.48937,0.2571572,269.97543144226074,269.97543144226074,4.888066858053207,0.22811647807247937,1.0
142000,1.7017591,999.0,4.72181,1.4693309,0.24758345,271.1292896270752,271.1292896270752,5.03215691447258,0.25813545926939696,1.0
143000,1.7109323,None,4.6776586,1.4844465,0.25653803,None,None,None,None,1.0
144000,1.7078613,772.6666666666666,4.755487,1.4582719,0.25366774,204.14850234985352,204.14850234985352,4.377724076310794,0.31150827184319496,1.0
145000,1.6859382,None,5.669338,1.3673861,0.22538227,None,None,None,None,1.0
146000,1.670973,683.0,5.57598,1.3521398,0.21477973,184.26038932800293,184.26038932800293,3.1842126548290253,0.15249808318912983,1.0
147000,1.6750312,999.0,5.582491,1.3562889,0.21858294,275.33165550231934,275.33165550231934,4.672674059867859,0.27027789782732725,1.0
148000,1.6683611,105.0,5.454535,1.3534067,0.21082065,20.91090154647827,20.91090154647827,1.0555225610733032,0.09096678718924522,1.0
149000,1.6698518,999.0,5.3427744,1.3618139,0.22069398,270.17112922668457,270.17112922668457,4.671657577157021,0.1887666340917349,1.0
150000,1.7112979,645.6666666666666,5.327213,1.3670359,0.22420806,169.9479840596517,169.9479840596517,2.9964484373728433,0.2123893714354684,1.0
151000,1.6759102,None,5.5454106,1.3554486,0.22250745,None,None,None,None,1.0
152000,1.6937573,None,5.5472803,1.3578779,0.21877824,None,None,None,None,1.0
153000,1.6888723,999.0,5.247949,1.367371,0.22229803,270.33594449361163,270.33594449361163,4.46069477001826,0.2535125520080328,1.0
154000,1.6604866,None,5.4624715,1.364435,0.22086707,None,None,None,None,1.0
155000,1.6642389,None,6.139743,1.2475356,0.18993464,None,None,None,None,1.0
156000,1.676951,999.0,6.0800037,1.2501506,0.18667495,271.5790723164876,271.5790723164876,4.445930495858192,0.2423244883927206,1.0
157000,1.6521326,None,6.227387,1.2331142,0.18567865,None,None,None,None,1.0
158000,1.6711808,None,6.1030736,1.2419007,0.18959656,None,None,None,None,1.0
159000,1.6661335,999.0,6.1174035,1.2473252,0.1862315,274.4538167317708,274.4538167317708,4.250105768442154,0.20785648212768137,1.0
160000,1.661341,None,6.121966,1.2409527,0.18830426,None,None,None,None,1.0
161000,1.6784294,None,6.077683,1.2404906,0.1913659,None,None,None,None,1.0
162000,1.6720101,999.0,5.888345,1.2478437,0.18753771,275.14448897043866,275.14448897043866,4.278631339470546,0.21803742926567793,1.0
163000,1.6754105,525.0,5.844445,1.2550628,0.19604409,135.99963355064392,135.99963355064392,3.1610600501298904,0.18738799379207194,1.0
164000,1.7365785,281.75,4.663263,1.2179664,0.25616288,58.49201261997223,58.49201261997223,1.9171730652451515,1.0356720383279026,1.0
165000,1.6906936,999.0,6.4603624,1.1807272,0.17536001,269.66042709350586,269.66042709350586,4.516511857509613,0.30780212744139135,1.0
166000,1.6333634,None,6.84844,1.1284214,0.16049808,None,None,None,None,1.0
167000,1.6556376,985.5,6.764012,1.1490961,0.17005178,272.64605259895325,272.64605259895325,3.996362503618002,0.1671223690500483,1.0
168000,1.6822777,999.0,6.6710205,1.139292,0.16286823,276.35216903686523,276.35216903686523,3.7317259162664413,0.22889196290634573,1.0
169000,1.6753775,None,6.7557373,1.1433827,0.16439626,None,None,None,None,1.0
170000,1.6890428,954.0,6.488147,1.1591729,0.17705572,262.1661356687546,262.1661356687546,3.9067000448703766,0.229223471484147,1.0
171000,1.6498458,749.0,6.6585903,1.1443931,0.1657354,273.7242364883423,273.7242364883423,4.034633934497833,0.25691527128219604,1.0
172000,1.6632988,422.0,6.546356,1.1701319,0.17239168,122.9863657951355,122.9863657951355,2.172363556921482,0.17588747548870742,1.0
173000,1.6902963,339.0,5.824672,1.197498,0.21499023,80.90378022193909,80.90378022193909,1.9066052660346031,0.30255420453613624,1.0
174000,1.6460277,653.0,6.390098,1.1620456,0.17726986,172.9538586139679,172.9538586139679,2.887115031480789,0.1481112795881927,1.0
175000,1.6348985,487.6666666666667,6.6338096,1.1238952,0.17101766,128.25250053405762,128.25250053405762,2.155630732576052,0.17169283097609878,1.0
176000,1.6280979,677.5,7.047774,1.059086,0.15301932,186.546808719635,186.546808719635,2.8523581996560097,0.14092229784000665,1.0
177000,1.6220115,None,7.2397294,1.0556164,0.1427304,None,None,None,None,1.0
178000,1.637502,999.0,7.171996,1.0534625,0.14616899,279.89310932159424,279.89310932159424,4.129906937479973,0.16914373193867505,1.0
179000,1.6140848,932.5,7.1668277,1.0464863,0.14805803,259.24437856674194,259.24437856674194,3.805947259068489,0.140391661436297,1.0
180000,1.6112617,None,7.1958857,1.0538666,0.14542937,None,None,None,None,1.0
181000,1.6276326,999.0,7.2413225,1.0416815,0.14335367,278.36629486083984,278.36629486083984,4.032379612326622,0.15533178485929966,1.0
182000,1.6310856,999.0,6.870474,1.0708772,0.15175706,280.2029638290405,280.2029638290405,3.995331756770611,0.12511099816765636,1.0
183000,1.6112388,None,7.115781,1.0558472,0.14741203,None,None,None,None,1.0
184000,1.6277757,999.0,7.0373273,1.0622731,0.15204655,278.786732673645,278.786732673645,4.034424901008606,0.1761614796705544,1.0
185000,1.6288505,675.6666666666666,6.982375,1.0682501,0.15191217,183.28169663747153,183.28169663747153,3.0425913333892822,0.3125857449291895,1.0
186000,1.5974023,None,7.679021,0.9680588,0.12771197,None,None,None,None,1.0
187000,1.6114165,999.0,7.760413,0.9752468,0.13080274,277.5465564727783,277.5465564727783,3.955300599336624,0.1404829379171133,1.0
188000,1.6152858,999.0,7.588318,0.9828848,0.1320906,280.63311100006104,280.63311100006104,3.926436260342598,0.18917110818438232,1.0
189000,1.5993838,None,7.656982,0.9713955,0.13176377,None,None,None,None,1.0
190000,1.5843604,999.0,7.72441,0.97722125,0.13107674,280.6445713043213,280.6445713043213,3.98223814368248,0.22507888404652476,1.0
191000,1.5875413,999.0,7.688955,0.97915727,0.12883577,279.60321712493896,279.60321712493896,3.9744279980659485,0.15823370235739276,1.0
192000,1.6002597,None,7.6331625,0.9801885,0.12841982,None,None,None,None,1.0
