Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
95000,1.8880296,6.0383215,869.0,162.77659606933594,162.77659606933594,1.0
96000,1.8874596,6.04394,652.0,121.73754453659058,121.73754453659058,1.0
97000,1.8892318,5.636395,470.3333333333333,79.54412420590718,79.54412420590718,1.0
98000,1.8825201,6.0164957,473.3333333333333,87.21225651105244,87.21225651105244,1.0
99000,1.8770314,6.0336285,312.0,54.325998306274414,54.325998306274414,1.0
100000,1.8932533,5.4221416,372.25,65.87951968610287,65.87951968610287,1.0
101000,1.8856672,6.1300464,451.0,85.455352216959,85.455352216959,1.0
102000,1.884684,5.774654,257.25,47.08661399781704,47.08661399781704,1.0
103000,1.8649153,5.9308877,46.0,3.9518561363220215,3.9518561363220215,1.0
104000,1.8355135,6.1500845,999.0,191.30395936965942,191.30395936965942,1.0
105000,1.8255607,6.2907147,638.0,126.65781275431316,126.65781275431316,1.0
106000,1.8356888,6.2517033,277.0,52.27924716472626,52.27924716472626,1.0
107000,1.8371269,6.186324,596.0,120.91818463802338,120.91818463802338,1.0
108000,1.8442343,6.0533595,339.0,72.6459903717041,72.6459903717041,1.0
109000,1.8274677,6.3615217,674.0,139.3708634376526,139.3708634376526,1.0
110000,1.8476335,5.777578,722.0,103.39009737968445,103.39009737968445,1.0
111000,1.826151,6.278813,412.5,87.8018593788147,87.8018593788147,1.0
112000,1.8260418,6.153155,466.6666666666667,94.67884588241577,94.67884588241577,1.0
113000,1.833631,6.3247905,639.0,142.05678176879883,142.05678176879883,1.0
114000,1.760724,6.27967,616.0,125.364417552948,125.364417552948,1.0
115000,1.7406507,6.4799623,999.0,159.93049883842468,159.93049883842468,1.0
116000,1.7834333,6.4072285,856.0,17.149400308728218,17.149400308728218,1.0
117000,1.7671716,6.6430454,652.0,148.8313217163086,148.8313217163086,1.0
118000,1.7801813,6.644989,999.0,216.961030960083,216.961030960083,1.0
119000,1.7783799,6.6280193,None,None,None,1.0
120000,1.7616944,6.602969,804.6666666666666,182.25374039014181,182.25374039014181,1.0
121000,1.7828147,6.54398,292.0,62.15873908996582,62.15873908996582,1.0
122000,1.7812722,6.6427593,None,None,None,1.0
123000,1.7842898,6.567703,999.0,228.44274258613586,228.44274258613586,1.0
124000,1.736411,6.6954436,569.0,129.62172949314117,129.62172949314117,1.0
125000,1.7243208,6.805814,179.0,35.44270038604736,35.44270038604736,1.0
126000,1.723749,6.9030404,744.6666666666666,237.76315259933472,237.76315259933472,1.0
127000,1.7287729,6.8404856,509.0,87.44273352622986,87.44273352622986,1.0
128000,1.7222652,6.815698,582.5,137.53952598571777,137.53952598571777,1.0
129000,1.7247512,6.881582,999.0,None,None,1.0
130000,1.7162068,6.8402615,269.0,157.21005487442017,157.21005487442017,1.0
131000,1.7312872,6.8467426,715.6666666666666,175.96455923716226,175.96455923716226,1.0
132000,1.7247889,6.732733,182.33333333333334,38.3261775970459,38.3261775970459,1.0
133000,1.7237053,6.5752,373.3333333333333,85.65294035275777,85.65294035275777,1.0
134000,1.7025391,6.9263635,790.5,192.30577611923218,192.30577611923218,1.0
135000,1.6771576,7.259961,None,None,None,1.0
136000,1.6819612,7.321681,999.0,246.97715091705322,246.97715091705322,1.0
137000,1.6821712,7.236682,999.0,253.13995027542114,253.13995027542114,1.0
138000,1.683432,7.227922,679.0,169.11146116256714,169.11146116256714,1.0
139000,1.673902,7.293,None,None,None,1.0
140000,1.6833792,7.3154926,999.0,255.86400508880615,255.86400508880615,1.0
141000,1.6855286,7.2635293,999.0,255.30901718139648,255.30901718139648,1.0
142000,1.6759462,7.213941,716.0,None,None,1.0
